,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
110,Port Hedland,35,AU,1601414092,37,-20.32,118.57,66.2,5.82
111,Pangoa,93,PE,1601414092,94,-12.12,-73.0,73.13,1.14
112,Manyana,0,BW,1601414092,25,-23.4,21.72,56.79,10.38
113,Bengkulu,87,ID,1601414093,88,-3.8,102.27,75.31,7.36
114,Menongue,76,AO,1601414093,28,-14.66,17.69,71.04,0.87
115,Puerto Ayora,75,EC,1601414093,69,-0.74,-90.35,75.2,14.99
116,Iwanai,100,JP,1601414094,87,42.97,140.51,53.71,3.51
117,Bulgan,100,MN,1601414094,65,48.81,103.53,40.89,3.4
118,Prince Rupert,90,CA,1601414094,93,54.32,-130.32,55.4,2.24
119,Harper,37,LR,1601414095,90,4.38,-7.72,76.68,8.1
120,Kon Tum,100,VN,1601414095,93,14.35,108.0,70.75,1.21
121,Necochea,0,AR,1601414096,51,-38.55,-58.74,69.01,8.99
122,Fort Nelson,5,CA,1601414096,33,58.81,-122.7,59.0,11.41
123,Udachny,90,RU,1601414096,92,66.42,112.4,23.0,6.71
124,Paamiut,0,GL,1601414097,76,61.99,-49.67,35.62,16.35
125,Padang,75,ID,1601414097,73,-0.95,100.35,76.44,4.9
126,Atuona,18,PF,1601414097,75,-9.8,-139.03,78.1,18.63
127,Khatanga,100,RU,1601414098,99,71.97,102.5,31.48,9.13
128,Havelock,75,US,1601414098,94,34.88,-76.9,77.0,10.29
129,Phan Thiet,100,VN,1601414098,86,10.93,108.1,76.59,6.11
130,Bluff,98,NZ,1601414099,88,-46.6,168.33,45.0,5.01
131,Hobart,90,AU,1601413955,66,-42.88,147.33,53.6,10.29
132,Ankara,20,TR,1601414099,36,39.92,32.85,75.2,14.99
133,Emerald,23,AU,1601413864,82,-23.53,148.17,62.01,5.82
134,Esperance,90,AU,1601414004,100,-33.87,121.9,55.4,8.05
135,Pell City,75,US,1601414011,60,33.59,-86.29,69.8,8.05
136,La Paz,75,BO,1601414084,70,-16.5,-68.15,46.4,5.82
137,Guerrero Negro,0,MX,1601414100,27,27.98,-114.06,93.9,11.36
138,Tarancón,0,ES,1601414101,62,40.01,-3.01,71.01,5.82
139,Qaanaaq,0,GL,1601414101,81,77.48,-69.36,14.79,7.0
140,Batemans Bay,100,AU,1601414102,94,-35.72,150.18,51.01,3.98
141,Dingle,100,PH,1601414102,87,11.0,122.67,74.79,1.54
